row_id,efficiency_binning_quantile,eff_times_minutes_binning_quantile,scoring_impact_binning_quantile,eff_per_point_binning_quantile,eff_per_min_binning_quantile,scoring_volume_binning_quantile
1570,19,6,6,5,6,5
7195,20,6,6,3,4,6
6396,13,4,5,3,6,4
4148,15,4,4,6,6,3
1963,2,1,1,6,1,1
6251,15,5,5,4,3,5
624,8,3,3,4,5,2
765,12,3,5,1,6,4
1650,13,3,4,4,6,3
4221,16,5,5,4,4,5
4708,19,6,6,5,5,5
7447,19,6,6,4,5,6
2555,6,2,2,4,5,2
7696,15,5,5,3,3,5
6900,1,1,1,1,1,1
6658,2,1,1,6,3,1
5522,6,3,3,1,2,3
7975,7,2,2,4,4,2
2466,9,4,4,1,1,5
7781,9,3,4,1,3,4
89,10,2,3,5,6,2
1721,7,3,2,6,4,2
6004,7,2,2,6,5,2
6795,9,2,3,3,6,3
621,12,4,4,4,4,4
941,2,1,1,6,3,1
7196,1,1,1,3,1,1
5210,12,3,5,1,6,4
8455,20,6,6,5,5,6
1781,10,4,3,6,3,3
3693,3,1,1,6,2,1
4957,18,6,6,3,5,6
5853,1,1,1,6,1,1
6081,8,2,3,2,6,2
2848,4,2,1,5,4,1
170,10,3,3,5,5,2
4205,3,1,1,5,5,1
2214,5,1,2,5,6,1
3126,18,6,6,5,3,6
4588,10,2,3,6,6,1
587,2,1,1,6,5,1
8565,19,6,6,5,6,5
4152,16,6,4,6,3,4
4681,16,6,6,1,3,6
4765,11,4,4,3,5,4
8933,4,2,2,2,1,3
4609,19,6,6,3,3,6
1058,20,6,6,3,6,6
6454,19,6,5,6,4,5
6063,7,3,3,1,1,4
6627,2,1,1,1,2,1
8160,3,2,2,1,1,3
96,9,3,3,5,4,3
7231,5,1,2,5,6,1
8733,13,5,5,3,3,5
2945,19,6,6,3,5,6
3088,19,6,6,2,5,6
6792,,6,,3,6,6
1618,18,6,6,1,4,6
7721,8,2,2,5,5,2
3699,16,5,6,2,3,6
8557,4,1,2,2,6,1
1077,10,3,3,5,4,3
6021,12,4,4,4,5,4
7026,16,5,5,4,5,5
7907,9,2,3,3,6,2
3086,16,5,5,6,4,4
1091,20,6,6,3,5,6
2725,1,1,1,1,1,2
361,6,2,2,3,6,2
8726,11,4,2,6,2,3
568,3,2,2,1,1,4
1143,16,5,5,4,5,5
1023,8,3,3,3,5,3
448,16,5,5,5,5,5
3835,10,4,3,4,2,4
3442,20,6,6,5,5,6
7499,12,4,3,5,4,3
8373,8,4,4,1,1,5
7658,8,3,2,5,4,2
1923,2,1,1,4,6,1
6934,10,4,2,6,3,2
2860,9,3,3,4,4,3
5941,2,1,1,5,2,1
1722,2,1,1,4,2,1
4326,15,5,4,6,5,4
8232,12,4,4,3,4,4
213,3,1,1,5,4,1
3972,2,2,2,1,1,3
5468,3,2,1,4,1,2
4481,8,3,3,2,4,3
1154,3,2,1,4,1,2
2621,3,1,1,6,2,1
5214,11,3,3,5,6,3
3261,10,4,4,1,3,4
3012,1,1,1,2,1,2
5226,8,4,3,4,1,4
8187,20,6,6,5,5,6
1571,20,6,6,2,5,6
2355,7,2,2,4,6,2
7390,4,2,2,2,2,3
7065,16,5,5,5,5,4
4304,9,4,2,6,2,2
2165,3,2,2,1,2,3
1596,16,6,4,6,2,4
5548,3,2,1,4,2,1
737,6,2,2,6,6,1
4354,2,1,1,6,1,1
6635,10,4,3,5,1,4
3398,11,4,4,2,2,5
7865,2,1,1,6,1,1
6052,2,1,2,1,1,2
4961,16,6,5,3,3,6
8073,1,1,1,1,1,1
4270,10,3,4,3,6,3
8746,10,3,3,5,6,2
8994,16,5,5,4,5,5
5782,4,2,1,5,4,1
3843,9,3,3,5,4,3
6139,5,2,3,1,3,3
2719,3,1,2,3,3,2
1053,12,5,3,6,2,4
5322,13,4,4,4,4,4
3239,15,6,5,3,1,6
3775,6,1,2,6,6,1
3446,3,1,1,6,3,1
8369,15,5,4,5,4,4
512,11,4,4,3,4,4
1447,9,3,2,6,4,2
7660,7,3,3,1,2,4
1323,12,4,4,2,4,4
880,20,6,6,4,4,6
5917,17,5,5,5,5,5
4032,9,4,3,2,2,4
6410,4,2,2,1,2,3
8520,2,1,1,2,2,1
1184,10,5,5,1,1,6
8631,16,5,6,1,4,6
322,10,3,4,3,4,4
2578,12,5,4,4,2,4
2037,5,2,1,6,3,1
1804,2,1,1,6,1,1
8287,3,2,1,4,1,2
2267,17,5,5,4,5,5
3520,1,1,1,6,1,1
4068,10,4,5,1,3,5
4013,8,3,4,1,2,4
1340,6,2,3,2,5,2
7918,14,4,4,5,5,4
4924,17,6,6,3,3,6
8492,3,1,1,2,5,1
3384,10,4,5,1,3,5
7513,9,4,3,3,2,4
240,12,4,3,5,3,4
3406,6,2,2,4,2,2
3460,14,5,5,1,2,6
4100,5,2,2,3,5,2
2437,12,5,5,1,1,6
223,20,6,6,3,5,6
108,13,5,4,4,3,4
4594,4,2,2,3,2,2
8374,8,2,3,2,6,2
2509,5,3,2,6,1,2
2535,13,5,5,3,2,5
7956,11,3,3,5,6,3
5462,14,4,4,5,5,4
132,5,2,2,3,2,2
5867,10,5,4,2,1,5
2485,9,3,3,5,3,3
7200,6,2,2,3,3,2
7274,11,4,4,1,2,5
3101,2,1,1,3,1,2
2729,11,4,4,3,3,4
6817,11,3,4,3,5,3
2664,13,5,5,1,3,5
4517,12,4,5,2,5,4
6490,11,3,4,2,6,4
734,3,1,1,6,4,1
6066,3,1,1,6,5,1
2639,18,6,5,5,4,5
2861,10,4,5,1,2,5
6968,11,5,4,2,2,5
1729,5,2,2,1,2,3
5939,9,4,4,1,2,5
6365,3,2,1,4,2,2
8086,16,5,5,3,4,5
3004,4,2,2,1,3,2
5791,4,2,2,3,2,2
3783,10,4,4,1,2,5
5193,7,2,2,6,6,1
7324,16,5,5,4,5,5
7446,17,5,6,3,5,6
8621,12,5,4,5,2,4
3568,3,1,1,2,1,2
4329,18,5,5,5,6,4
8072,10,4,4,3,2,4
6471,6,3,2,4,1,3
790,16,6,5,4,2,5
510,10,3,4,1,5,4
4940,9,3,4,1,3,4
3461,15,5,5,5,4,4
2413,20,6,6,4,4,6
4831,11,5,4,2,2,5
1958,8,3,4,1,3,4
6415,13,4,5,1,3,5
6551,18,6,6,3,3,6
2971,12,4,3,5,5,3
6162,11,4,4,3,2,4
5639,20,6,6,3,5,6
4238,12,4,4,3,4,4
1019,8,4,4,1,1,5
8304,3,1,1,6,4,1
1150,2,1,1,6,2,1
2692,20,6,6,3,6,6
8357,12,5,4,3,2,5
4595,20,6,6,4,4,6
1047,19,6,6,5,5,6
1617,20,6,6,5,6,5
3001,3,1,1,6,5,1
2322,6,2,2,3,3,2
8764,5,3,2,3,1,3
1484,1,1,1,6,2,1
8663,8,3,4,1,4,3
4672,1,1,1,6,1,1
2192,11,3,3,5,5,3
7557,11,4,4,4,2,4
3079,20,6,6,5,6,6
5552,3,1,1,5,3,1
6249,4,1,2,4,5,1
3862,17,6,6,1,4,6
1072,14,5,4,4,3,5
2665,10,2,3,5,6,2
6492,3,2,2,1,2,2
5518,12,4,5,2,3,5
7615,20,6,6,4,5,6
2390,17,4,5,4,6,4
5953,2,2,1,3,1,2
8538,1,1,1,1,1,1
5200,17,5,6,2,5,6
6424,14,4,5,2,6,4
8908,8,2,4,1,5,3
4683,10,3,3,6,5,2
5051,13,4,5,1,5,5
7229,19,6,6,1,4,6
2277,9,4,4,1,1,5
5957,14,5,5,2,3,5
7374,6,3,2,5,1,3
1766,19,6,6,5,6,5
7958,5,1,2,2,5,2
3127,3,2,2,1,1,4
2035,19,5,6,2,6,6
5380,17,6,6,4,3,6
6623,11,4,4,2,4,4
3893,6,3,2,3,2,3
4367,4,2,2,1,3,2
1127,20,6,6,4,5,6
8585,18,6,6,3,3,6
4218,8,2,3,2,6,2
1384,11,3,3,6,6,2
331,5,3,2,1,1,3
8596,18,6,6,2,5,6
6250,2,1,1,4,1,1
1374,18,6,5,5,3,6
2252,3,1,2,1,1,2
2707,14,5,4,6,3,4
1003,16,6,5,3,4,6
6787,15,5,5,5,4,4
2522,15,5,5,3,5,5
5098,11,4,4,4,2,4
4382,17,6,6,1,4,6
107,13,5,5,2,3,5
7824,11,5,4,3,1,5
4394,19,6,6,2,3,6
4105,18,6,6,2,3,6
8968,6,2,3,1,5,2
15,20,6,6,2,4,6
7261,16,5,5,3,5,5
4624,11,4,3,6,4,3
287,18,6,6,2,5,6
5905,11,4,4,4,2,4
6647,11,4,4,2,3,4
1741,12,5,5,1,2,5
4933,10,2,3,5,6,2
4008,19,6,6,5,4,6
4968,11,2,4,4,6,2
8680,1,1,1,6,3,1
8059,11,5,4,2,1,5
8916,17,6,5,4,3,6
6180,17,5,5,6,6,4
4848,4,1,2,4,5,1
1733,15,6,5,2,1,6
1146,1,1,1,6,1,1
3132,16,5,5,3,4,5
1740,9,4,2,6,2,2
6312,11,4,4,3,3,4
6992,10,3,4,3,6,3
1196,5,2,2,1,5,2
3519,2,1,1,1,4,1
1607,17,6,6,4,4,6
1176,13,4,4,4,4,4
2400,3,2,2,3,2,2
7492,1,1,1,2,1,1
8891,7,3,2,6,2,2
8783,1,1,1,2,1,1
1394,11,4,4,4,4,4
8905,5,2,1,6,2,1
6054,10,4,4,3,2,4
2961,18,6,6,5,3,6
5707,14,4,5,3,5,4
7493,16,5,5,3,3,6
4903,6,3,2,5,1,2
5319,2,1,1,1,3,1
1316,11,4,4,2,3,4
7109,16,5,5,5,5,5
2819,14,5,4,6,3,4
1598,12,4,5,1,4,5
7540,3,3,2,1,1,3
4197,10,4,3,5,3,3
5398,11,5,4,2,1,5
7421,10,4,4,3,3,4
1453,17,4,6,2,6,5
5365,12,4,4,5,5,3
7780,19,6,6,2,5,6
593,16,6,6,1,2,6
2143,6,2,2,4,6,2
2826,12,4,4,3,3,4
5314,14,5,5,3,2,5
6379,1,1,1,1,1,1
6854,17,5,5,4,6,5
4975,5,2,2,5,2,2
555,13,4,5,3,6,4
1889,3,1,1,2,2,2
8720,16,5,5,6,4,4
7505,18,6,6,1,4,6
7077,6,3,1,6,2,2
6264,2,1,1,4,1,1
4424,14,5,5,1,3,5
2699,18,6,6,2,4,6
7573,1,1,1,6,1,1
7168,3,1,1,6,6,1
5841,3,2,2,1,1,3
2289,2,1,1,1,1,1
7665,4,1,2,4,5,1
5630,13,5,5,2,3,5
4185,18,5,6,3,6,5
2250,16,5,6,1,5,6
4764,13,3,3,6,6,2
8256,13,4,4,4,5,4
1415,16,4,5,4,6,4
1296,10,2,3,6,6,1
5357,14,4,4,4,6,4
6469,20,6,6,4,5,6
1011,11,4,4,2,5,4
4709,5,1,1,6,6,1
2184,2,1,1,5,1,1
2523,17,5,6,4,5,5
222,4,2,1,5,1,2
5925,19,6,6,3,3,6
909,12,3,5,1,6,4
5631,19,6,6,3,4,6
6430,5,3,2,3,1,3
4790,10,3,3,4,5,3
8784,4,2,2,3,4,2
1836,8,4,2,5,1,3
3154,9,3,3,6,4,2
4652,6,3,3,1,1,4
1401,13,3,4,6,6,3
1935,5,2,3,1,3,3
2589,4,1,2,4,5,1
7332,1,1,1,2,2,1
654,3,1,2,1,4,1
4660,10,4,4,1,1,5
120,8,3,3,3,4,3
6128,16,5,6,2,6,5
1480,10,3,4,3,6,3
2577,13,5,4,4,3,4
1559,3,2,1,6,2,1
8334,7,2,2,4,4,2
1124,19,6,6,2,3,6
4657,18,6,6,3,5,6
7894,17,6,6,3,4,6
8321,2,1,2,1,1,3
7387,16,5,5,5,3,5
4631,7,3,3,1,2,4
7117,9,3,3,3,4,3
5750,11,3,4,2,6,3
6215,8,3,2,6,4,2
8742,4,1,2,4,5,1
4310,15,5,5,4,2,5
77,5,2,1,6,4,1
3092,9,3,4,1,5,3
5390,11,4,4,3,2,4
966,12,4,5,2,4,5
3459,10,3,3,4,5,3
3785,15,5,5,4,3,5
731,16,5,5,5,4,5
1996,13,5,4,5,3,4
5091,14,5,3,6,2,4
1660,15,5,5,2,4,5
3317,10,3,4,1,6,3
3681,9,3,3,3,6,3
7381,5,3,2,3,1,3
4828,1,1,1,6,4,1
7636,18,6,6,2,4,6
5698,18,6,6,3,6,6
2901,2,2,1,2,1,2
7704,9,3,3,4,5,3
2778,7,3,2,6,2,2
5198,11,4,4,3,2,4
7879,1,1,1,2,1,1
4835,10,4,4,3,3,4
7987,17,6,6,1,2,6
6409,9,3,4,1,4,4
6067,18,6,6,3,3,6
6988,14,4,5,3,5,4
2499,12,5,4,2,2,5
1370,1,1,1,6,1,1
6340,2,1,1,1,2,1
3128,18,6,5,5,4,5
2389,2,1,1,6,1,1
3773,2,1,1,4,5,1
2887,11,3,4,2,6,3
305,9,3,4,1,5,4
5582,8,3,2,5,2,3
6300,15,5,4,5,4,4
6339,20,6,6,6,5,6
4575,5,2,2,2,4,2
8976,12,4,5,1,4,5
1427,16,4,6,2,6,5
4421,7,3,3,1,3,3
8489,16,5,6,1,6,5
5899,2,1,1,6,3,1
5439,15,5,5,2,2,6
3848,3,1,1,2,2,2
5509,13,2,5,3,6,2
2454,11,4,4,4,4,3
7689,20,6,6,1,3,6
4299,16,5,5,6,5,4
6760,16,5,5,3,5,5
3167,10,3,5,1,4,4
4291,6,3,2,5,2,2
1085,3,1,1,6,3,1
7448,8,3,3,4,4,3
5213,7,4,3,1,1,5
1594,8,2,2,5,6,2
5726,5,3,2,5,1,2
5502,15,6,5,3,1,6
7452,12,2,3,6,6,1
1609,15,5,4,6,5,4
4419,1,1,1,6,1,1
8219,12,4,4,2,3,5
8902,20,6,6,2,4,6
2859,8,3,3,2,2,4
4332,13,4,5,3,4,4
5736,14,5,5,1,4,5
7407,2,1,1,5,2,1
3143,6,3,3,1,2,4
3969,5,1,1,6,6,1
2517,7,3,3,1,2,4
5148,14,4,5,3,5,5
7743,10,3,3,5,6,2
38,9,3,3,2,5,3
7124,6,3,2,5,1,3
8488,18,5,5,6,6,4
20,15,5,4,5,4,4
3296,5,2,2,3,5,2
3690,1,1,1,3,1,1
7858,4,2,2,2,3,2
4345,11,3,3,5,6,3
6394,5,2,2,2,4,2
6769,4,2,1,6,2,1
539,7,2,2,4,4,2
5338,1,1,1,1,1,1
6684,12,4,4,4,3,4
8714,3,2,1,6,2,1
5345,20,6,6,4,6,6
3933,14,5,4,5,3,5
4818,10,3,3,5,5,3
3880,3,1,1,4,4,1
6177,20,6,6,6,5,6
6082,1,1,1,1,1,1
347,5,2,2,3,3,2
7416,6,2,3,2,6,2
2944,20,6,6,4,6,6
2496,20,6,6,2,5,6
1288,7,2,2,4,6,2
5647,1,1,1,1,1,1
7465,19,6,6,2,3,6
8206,20,6,6,4,6,6
7295,18,6,6,5,5,5
7406,13,5,5,1,3,5
1852,2,1,1,4,1,1
7776,6,2,3,2,3,3
7287,3,1,1,6,6,1
4142,14,5,4,5,4,4
8190,9,3,3,2,3,4
6845,2,1,1,1,4,1
7320,19,6,6,3,4,6
5530,2,1,1,6,3,1
744,9,4,5,1,1,5
7705,20,6,6,3,6,6
5401,5,2,2,6,2,2
7742,16,5,5,5,3,5
1503,20,6,6,4,6,6
7986,15,4,5,3,6,4
3458,7,3,3,3,3,3
2178,1,1,1,1,1,1
6051,8,4,3,2,1,4
5506,5,2,2,3,3,2
3394,3,2,2,3,2,2
5221,20,6,6,5,6,6
8042,17,5,6,3,5,6
334,2,1,1,1,2,1
5442,14,4,5,1,5,5
6392,4,2,2,1,1,3
2226,9,3,3,3,5,3
8462,1,1,1,1,1,1
3449,5,2,3,1,4,3
3590,8,2,3,3,5,2
6750,1,1,1,1,1,1
1157,12,4,3,5,5,3
5097,6,4,2,4,1,4
1898,8,2,3,4,5,2
1057,11,3,4,2,6,4
3099,10,5,4,3,1,5
3885,6,3,1,6,1,2
6576,2,1,1,6,6,1
5558,11,5,5,1,1,6
7849,7,3,3,1,2,4
2717,8,4,3,3,1,4
933,7,3,2,4,2,3
7368,4,3,2,1,1,3
6267,1,1,1,1,1,1
24,17,6,5,5,3,6
5701,8,2,2,6,6,1
8949,15,5,5,2,3,6
2125,8,4,2,5,1,3
4862,5,1,2,3,6,2
2133,18,6,6,4,4,6
4324,20,6,6,3,5,6
5267,1,1,1,6,1,1
4337,16,5,5,3,4,5
4829,6,3,2,4,2,3
6674,16,5,5,5,5,4
6227,4,1,2,1,5,2
4662,6,3,2,4,1,3
3482,9,2,3,2,6,3
4506,9,4,2,6,1,3
6624,1,1,1,2,3,1
1916,13,5,5,1,1,6
7186,17,6,5,6,4,4
7991,18,6,6,4,3,6
1473,2,1,1,5,1,1
4865,9,4,4,1,1,4
2677,8,3,3,2,2,4
1746,5,3,1,6,1,2
497,7,2,2,6,4,2
1069,13,5,5,1,2,6
6390,16,6,6,3,3,6
5870,12,3,4,3,6,3
7602,18,6,6,1,4,6
34,16,6,4,6,3,5
5134,18,6,6,1,4,6
51,10,2,3,4,6,2
1632,13,5,5,1,3,5
8476,20,6,6,3,6,6
7072,16,5,5,4,4,5
5311,10,3,3,5,6,2
6664,4,2,2,3,4,2
501,2,2,1,3,1,2
8250,9,3,4,1,3,4
5022,15,5,5,2,4,5
2484,6,1,2,6,6,1
7625,3,1,2,1,3,2
4976,16,6,5,5,2,5
3264,2,1,1,1,2,2
5222,2,1,1,4,6,1
2817,11,4,4,4,4,3
6148,11,3,4,3,6,3
2727,13,5,4,4,3,4
2992,14,5,5,3,2,5
709,10,4,5,1,3,5
246,6,2,3,2,3,3
150,3,1,1,4,3,1
2359,6,4,3,1,1,5
186,20,6,6,3,5,6
8723,10,2,3,6,6,1
4741,7,2,2,6,6,1
5956,5,3,3,1,1,4
8750,11,3,3,6,5,3
8730,15,4,5,4,6,4
3593,14,5,4,5,3,5
5229,19,6,6,2,4,6
4669,1,1,1,1,1,1
6682,19,6,6,3,3,6
8897,4,3,3,1,1,4
3146,10,3,3,5,4,3
1673,8,3,2,6,3,2
4751,1,1,1,1,1,1
6248,20,6,6,5,6,6
551,14,4,5,3,6,4
8331,16,6,5,4,3,5
1920,11,4,5,1,3,5
18,6,2,3,1,3,3
6049,2,1,1,2,1,2
2875,19,6,6,2,4,6
3483,20,6,6,4,6,6
7821,8,4,4,1,1,5
5077,3,1,2,1,5,2
5385,16,5,5,6,5,4
2167,8,3,3,2,2,4
2058,2,1,1,1,2,1
4634,11,3,4,3,5,3
4503,17,6,6,2,4,6
3581,11,4,3,5,4,3
4114,8,2,3,2,6,2
4195,15,5,5,5,3,5
2877,3,2,1,4,1,2
4048,6,2,1,6,5,1
4348,17,6,5,4,3,6
1489,16,6,6,1,2,6
4088,11,2,4,3,6,2
169,6,3,2,5,1,3
4820,6,3,2,4,2,2
5712,3,2,2,3,2,2
8574,16,5,6,1,3,6
6816,7,2,2,6,6,1
2247,6,2,2,5,5,2
6758,12,3,4,3,6,3
6727,18,6,5,5,3,6
762,8,3,3,4,2,3
5831,12,5,4,2,2,5
2482,2,1,1,3,2,1
2958,17,6,6,3,3,6
719,16,5,5,3,4,5
1784,20,6,6,3,5,6
6652,17,5,5,4,5,5
488,1,1,1,2,1,1
6475,12,5,5,2,2,5
995,16,5,5,5,5,5
1430,12,4,4,5,3,4
3061,15,5,6,1,4,6
1079,10,3,4,1,6,3
3498,2,1,1,5,1,1
2516,11,3,4,4,6,3
1794,20,6,6,4,6,6
6329,13,5,5,1,2,5
5010,16,6,5,2,2,6
7873,3,1,1,2,4,1
2953,5,2,2,3,5,2
2698,13,5,4,4,1,5
2228,2,1,1,6,2,1
8404,11,4,4,1,2,5
2215,10,4,4,1,1,5
5591,13,5,5,2,3,5
5251,2,1,1,2,1,1
8999,2,1,1,6,1,1
354,3,1,1,4,5,1
2710,20,6,6,2,4,6
6330,6,2,2,6,5,1
7164,1,1,1,6,1,1
5655,6,1,2,6,6,1
1776,9,3,3,5,5,2
6970,19,5,6,5,6,4
6444,3,2,2,2,2,2
1422,5,2,2,3,1,3
8627,2,1,1,4,1,1
2674,15,4,4,5,5,4
829,9,3,3,4,4,3
8787,16,5,6,1,3,6
5406,19,6,6,5,6,5
1881,9,4,4,1,1,5
8057,20,6,6,5,4,6
454,20,6,6,3,6,6
3039,11,4,4,3,2,4
7503,8,3,3,3,3,3
1227,14,5,5,2,4,5
2376,2,1,1,4,1,1
683,2,1,1,1,1,2
8865,1,1,1,1,3,1
7872,3,2,1,6,2,1
6207,19,6,6,4,6,6
5045,5,2,2,5,3,2
1560,1,1,1,1,3,1
4717,14,5,5,2,3,5
8635,11,3,4,4,6,3
7007,8,3,3,3,4,3
6651,16,6,5,5,3,5
2216,14,5,4,6,4,4
2987,18,6,6,4,4,5
2803,5,2,2,3,3,2
1418,16,5,6,2,5,5
4526,2,1,1,2,4,1
5932,5,2,2,6,3,2
4393,11,2,4,3,6,2
7367,17,5,6,2,5,6
3661,2,1,1,1,1,2
7262,11,5,4,2,2,5
6780,5,2,2,5,1,2
2651,10,3,3,5,5,2
5984,10,4,3,5,2,3
7035,8,3,2,5,2,3
1624,10,5,4,1,1,5
1544,16,5,5,5,4,5
430,6,2,3,2,4,3
3938,18,6,6,4,5,6
4716,9,3,3,5,3,3
8739,1,1,1,6,1,1
7947,17,6,6,4,4,5
5455,19,6,6,4,5,6
5467,19,6,6,2,4,6
1579,15,5,5,5,2,5
4598,13,4,5,2,5,5
857,12,5,3,5,2,4
1039,5,1,2,1,6,2
4162,2,1,1,1,1,1
5280,19,6,6,2,3,6
7481,12,4,4,2,3,5
638,9,2,3,6,6,1
1863,10,4,3,4,3,4
7693,10,3,4,1,4,4
234,12,4,4,5,3,4
1615,4,2,2,3,3,2
2116,7,2,2,5,6,1
1128,11,4,4,3,3,4
2652,12,4,4,5,3,4
6696,8,2,3,2,6,2
5931,19,6,6,2,4,6
8903,7,3,1,6,3,1
7759,3,1,1,4,4,1
1719,7,3,3,3,3,3
2983,19,6,6,4,4,6
4203,2,1,1,3,4,1
5441,12,4,4,2,3,5
7833,6,3,2,5,1,3
7083,18,6,6,3,3,6
7804,1,1,1,1,1,1
8286,10,3,3,5,4,3
4302,9,4,4,1,1,5
1314,6,2,1,6,3,1
7732,9,3,3,6,5,2
7041,18,6,5,5,4,6
3306,12,4,4,4,3,4
102,16,5,5,4,5,5
320,10,4,4,2,3,4
6349,20,6,6,4,5,6
626,18,6,6,1,3,6
8931,10,3,4,3,5,3
8872,17,6,5,6,4,5
5410,11,4,4,2,2,5
1517,14,5,3,6,3,4
8002,10,4,3,5,2,4
4909,5,2,1,6,5,1
1562,19,6,6,4,4,6
1742,1,1,1,4,1,1
2927,20,6,6,6,5,6
335,15,5,5,2,4,5
2612,1,1,1,1,1,2
6438,8,2,2,6,6,1
1513,20,6,6,3,6,6
3609,15,4,4,6,6,3
2007,7,2,2,6,5,1
462,7,2,2,4,5,2
4225,12,4,4,5,3,4
3940,7,4,3,1,1,5
3140,9,3,3,4,5,3
3081,16,5,5,3,3,5
9,20,6,6,4,5,6
7856,16,5,5,4,3,5
100,3,2,2,3,2,2
1514,6,2,2,5,5,2
4217,9,3,3,3,3,4
6183,8,4,3,2,2,4
8947,20,6,6,5,4,6
8233,10,3,3,5,5,3
6797,3,2,1,6,2,1
1841,6,3,2,6,2,2
2129,15,5,4,5,5,4
32,14,4,5,3,5,4
4845,11,4,4,2,2,5
1510,18,6,6,4,5,6
6856,6,3,2,3,2,3
2895,13,5,4,6,3,4
867,14,5,3,6,3,3
7138,14,5,4,5,3,5
759,7,3,3,3,3,3
8655,10,3,4,3,6,3
6910,2,1,1,1,4,1
541,6,3,3,1,1,4
1329,16,4,5,5,6,4
3246,18,6,6,2,3,6
8486,3,2,2,1,2,3
7930,7,3,3,2,3,3
7876,13,4,5,3,4,4
5435,16,5,6,2,4,6
3480,15,5,4,6,3,4
7836,3,1,1,2,3,1
7212,20,6,6,2,5,6
8291,1,1,1,1,1,1
4636,1,1,1,2,1,1
2834,13,5,4,4,1,5
8990,4,2,2,3,1,2
3051,3,1,1,4,4,1
6487,16,5,6,1,4,6
4507,16,5,5,5,4,5
1771,20,6,6,3,5,6
1689,7,4,2,4,1,4
5973,16,5,5,3,5,5
2311,8,3,3,2,3,3
7235,6,1,2,5,6,1
1198,13,4,4,4,6,4
4830,17,6,5,4,4,5
2378,6,2,2,3,6,2
6991,17,5,5,4,5,5
2518,1,1,1,1,1,1
3640,12,4,4,3,5,4
8431,5,3,2,5,1,3
2317,9,2,4,1,6,3
602,20,6,6,3,6,6
1189,14,5,4,5,4,4
6701,3,2,2,3,2,2
5337,1,1,1,6,1,1
7471,3,1,2,1,3,2
3704,8,2,2,6,5,2
812,16,6,4,6,2,5
3963,3,2,1,6,1,1
4075,14,4,4,4,6,4
3347,13,3,3,6,6,2
1148,14,5,5,3,3,5
7723,11,4,4,2,3,4
5510,6,2,2,3,4,2
6946,4,1,2,4,5,1
5445,14,5,5,2,3,5
4997,1,1,1,2,2,1
466,20,6,6,4,4,6
5708,1,1,1,6,1,1
