row_id,efficiency_binning_quantile,eff_times_minutes_binning_quantile,scoring_impact_binning_quantile,eff_per_point_binning_quantile,eff_per_min_binning_quantile,scoring_volume_binning_quantile,target
6681,2,1,1,1,2,1,0
6434,19,6,6,4,4,6,1
1059,14,5,4,4,4,4,1
8900,3,2,1,6,1,1,0
5710,11,4,4,3,2,4,1
678,15,5,4,6,5,4,1
3136,4,1,2,2,4,2,0
1120,19,6,6,2,5,6,0
2416,15,5,5,2,2,6,1
1873,10,3,3,6,4,2,0
4742,5,1,1,6,6,1,0
3343,11,3,4,3,6,3,1
2118,5,2,2,3,5,2,0
1705,12,4,4,2,3,5,1
2176,6,2,2,3,4,2,0
3328,16,5,5,4,5,4,1
8300,2,1,1,2,1,1,0
6775,15,5,5,5,3,5,1
8564,10,4,2,6,3,2,1
5543,7,3,2,4,3,3,0
5394,5,2,2,3,2,2,0
3345,14,5,4,5,4,4,1
3594,3,1,1,6,3,1,0
6083,6,2,2,4,6,2,0
3359,11,4,4,4,2,4,1
5817,5,2,1,6,2,2,0
8566,8,3,2,5,4,2,0
5261,15,5,5,4,4,5,1
6908,16,5,5,3,4,5,1
3882,13,4,4,4,5,4,0
7142,4,2,2,2,1,3,0
5695,17,5,6,2,6,5,1
2149,2,2,1,1,1,2,0
4570,8,3,3,4,3,3,0
2483,19,6,6,2,5,6,1
633,9,2,3,6,6,2,1
5746,2,1,1,1,1,2,0
3241,12,4,3,6,3,3,1
4236,1,1,1,6,1,1,0
2081,10,4,4,3,3,4,1
4277,11,5,4,3,1,5,0
5260,5,3,2,3,1,3,0
6161,2,1,1,2,1,1,0
2511,7,3,3,1,2,4,0
3694,13,4,4,5,6,3,0
5044,5,1,2,6,6,1,1
1614,10,4,3,5,2,4,1
5076,16,5,5,5,4,5,0
1851,9,4,3,5,2,3,1
6985,16,5,5,3,5,5,1
8776,9,3,3,4,5,3,0
8225,16,5,6,3,5,5,1
6943,11,4,5,1,2,5,1
4006,15,5,5,5,3,5,1
2998,9,3,3,3,3,4,0
7880,12,4,4,4,5,4,1
8350,12,4,4,3,4,4,0
2627,7,1,2,6,6,1,0
4817,5,1,2,5,6,1,0
55,7,2,2,5,4,2,0
4041,9,2,3,2,6,2,0
167,6,3,3,2,2,3,0
3766,17,4,5,5,6,4,1
8514,16,5,5,5,5,4,1
4318,16,5,6,3,4,6,1
2331,10,3,3,6,4,3,0
4181,18,6,6,1,4,6,1
6033,2,1,2,1,1,2,0
2345,17,6,5,5,3,5,1
3020,19,6,6,5,5,6,1
3850,14,4,4,4,5,4,1
1752,16,4,5,4,6,4,0
2705,11,4,4,1,4,4,0
6212,1,1,1,5,3,1,0
180,19,6,6,5,4,6,1
4377,20,6,6,4,5,6,1
8154,4,2,2,2,3,2,0
6419,18,6,6,3,3,6,1
6840,2,2,1,1,1,2,0
1379,3,2,1,4,1,2,0
4186,3,2,2,3,2,2,0
4442,1,1,1,1,1,1,0
8037,9,2,3,4,6,2,1
5790,20,6,6,3,5,6,1
4923,18,6,5,5,3,6,1
8501,2,1,1,4,1,1,0
2904,20,6,6,5,4,6,1
2637,16,6,6,1,3,6,0
3869,13,3,4,5,6,3,1
7103,14,5,5,3,4,5,1
1885,7,2,2,5,6,2,0
901,2,1,1,6,1,1,0
286,1,1,1,3,1,1,0
8983,6,2,2,3,5,2,0
1886,8,3,4,1,3,4,0
5370,4,2,1,6,1,2,0
2157,17,5,5,5,5,5,1
2273,18,6,6,3,3,6,0
3358,4,2,2,4,4,2,0
4350,10,3,4,3,6,3,0
4892,13,4,4,5,5,3,0
4016,6,2,2,6,6,1,0
3861,16,5,6,1,3,6,0
1768,5,2,2,5,4,2,0
831,10,4,4,3,3,4,1
6077,16,5,5,4,3,5,1
7906,1,1,1,1,1,1,0
1858,18,6,5,5,3,6,1
855,12,3,4,4,6,3,0
615,1,1,1,6,3,1,0
6279,6,2,2,3,6,2,0
8003,3,2,1,6,1,1,0
8275,3,2,2,1,1,2,0
2318,9,4,3,2,1,4,0
635,17,6,6,4,4,5,1
214,7,2,2,4,5,2,0
7651,13,5,5,3,2,5,1
787,18,5,6,4,5,5,1
6690,13,4,4,4,4,4,1
5662,17,5,6,2,4,6,0
6893,12,5,4,2,2,5,0
6288,8,3,3,2,2,3,0
5501,17,6,6,3,3,6,1
1479,14,5,5,1,2,6,0
1989,19,6,5,6,6,4,1
325,13,5,4,6,2,4,1
8869,11,3,3,5,5,3,0
8552,11,4,4,3,2,4,1
3636,8,2,4,1,6,3,0
766,6,3,3,1,1,4,0
3275,3,2,1,6,2,1,0
3203,2,2,1,2,1,2,0
1385,14,3,4,5,6,3,1
5994,13,5,5,2,2,5,1
1816,1,1,1,2,1,1,0
8661,18,6,5,5,5,5,1
7175,7,2,2,4,5,2,0
159,16,5,5,4,5,5,0
5580,4,2,2,4,1,2,0
2649,20,6,6,3,5,6,1
4344,7,3,2,5,3,2,1
7004,13,5,4,6,2,4,1
935,12,4,4,3,4,4,0
5812,15,5,6,1,2,6,0
6925,19,6,6,5,5,6,1
7995,6,3,3,1,1,4,0
4988,9,2,2,6,6,2,0
8107,5,2,2,3,3,2,0
6346,19,6,6,5,5,5,1
7698,18,6,6,3,4,6,1
4898,7,3,2,4,3,3,1
8747,18,5,5,6,6,4,1
7278,4,1,2,1,6,2,0
513,20,6,6,4,5,6,1
8591,1,1,1,1,1,1,0
1761,17,6,6,2,4,6,1
7837,7,2,2,5,5,2,0
202,7,4,3,1,1,5,0
8182,5,2,3,1,2,3,0
8531,11,3,3,5,5,3,1
7105,15,5,5,5,3,5,1
3116,14,6,5,1,1,6,1
1580,5,2,1,6,2,2,0
7478,13,5,5,1,3,5,1
1256,1,1,1,6,1,1,0
1409,16,5,5,6,5,4,1
5783,12,4,3,6,5,2,1
8985,11,4,3,6,4,2,0
1204,2,1,1,4,3,1,0
918,12,4,4,2,4,4,0
1348,12,5,3,5,1,4,1
8307,8,4,3,3,2,4,0
205,15,3,4,6,6,3,1
8386,2,1,1,3,4,1,0
1960,9,3,3,2,4,3,0
4730,1,1,1,6,1,1,0
6272,10,4,4,1,1,5,0
507,2,1,1,1,1,1,0
3231,16,5,4,6,4,4,1
7330,10,3,4,1,5,4,1
5405,4,2,2,1,3,2,0
1978,10,4,3,4,1,4,1
7886,3,2,1,6,3,1,0
7058,16,5,5,4,4,5,1
4896,14,3,4,6,6,3,1
7417,16,6,5,2,2,6,0
6147,10,3,3,4,5,3,0
8890,16,5,5,4,5,5,1
5094,18,6,6,3,4,6,1
1224,20,6,6,4,5,6,1
712,8,2,2,5,5,2,0
7189,17,6,5,4,4,5,1
6828,2,1,1,3,2,1,0
400,4,2,2,3,3,2,0
5136,19,5,6,5,6,5,1
330,12,4,4,5,5,3,0
407,7,3,2,6,1,3,0
4480,16,5,5,5,4,5,1
7779,11,4,4,2,3,4,0
1156,6,2,2,6,3,2,0
8276,9,3,4,1,3,4,0
3067,3,1,2,1,2,2,0
5001,2,1,1,5,2,1,0
1868,6,2,2,3,6,2,0
7052,11,3,4,4,6,3,1
7020,11,5,3,6,1,4,0
6540,5,2,2,2,5,2,0
3265,3,2,1,4,2,1,0
627,14,5,5,1,3,6,0
4844,18,6,6,2,3,6,1
3391,15,6,5,4,2,5,1
2290,6,2,2,5,3,2,0
261,19,6,6,2,5,6,1
2571,13,5,5,1,1,6,1
6068,12,4,4,3,5,4,0
1670,1,1,1,6,2,1,0
6667,4,1,1,6,6,1,0
381,13,4,4,5,4,4,1
6804,10,5,5,1,1,6,0
8666,18,6,6,3,3,6,1
4977,7,2,3,2,4,3,0
2369,4,2,1,5,3,1,0
1118,18,5,6,3,6,5,1
6493,13,5,4,5,3,4,0
7822,8,2,3,4,5,2,1
8091,16,5,6,2,3,6,0
2657,13,5,4,5,2,4,1
7933,10,4,4,2,2,4,1
2266,19,5,5,6,6,4,1
6615,3,1,1,4,2,1,0
5150,9,2,3,5,6,2,1
6515,1,1,1,2,1,1,0
5839,20,6,6,2,6,6,1
3080,20,6,6,6,6,6,1
6088,19,6,6,4,4,6,1
8558,12,5,4,3,1,5,0
7056,16,5,5,3,5,5,1
1160,5,2,2,5,2,2,0
3990,2,1,1,3,1,2,0
4054,2,2,1,1,1,2,0
7059,20,6,6,2,5,6,1
7430,5,2,2,3,3,2,0
119,12,4,4,4,5,4,1
144,2,1,1,4,6,1,0
8601,7,3,2,4,3,3,0
2635,9,2,2,6,6,1,1
6964,12,4,4,5,5,3,1
3515,19,6,6,3,5,6,1
7890,13,4,4,4,4,4,1
6589,17,5,6,2,5,6,0
6085,14,5,5,2,3,5,1
2812,20,6,6,5,5,6,1
3096,6,2,2,3,5,2,1
1007,8,4,3,3,2,4,0
4917,14,4,5,2,5,5,0
4985,15,5,5,2,3,6,1
6462,13,4,4,6,5,3,1
5074,5,2,2,3,4,2,0
8401,12,5,4,2,2,5,0
6093,8,4,3,2,1,5,1
8578,6,2,2,3,4,2,0
8309,5,2,2,2,5,2,0
4071,2,1,1,3,2,1,0
6669,19,6,6,2,3,6,1
8548,2,1,1,5,1,1,0
4418,5,2,2,1,2,3,0
6479,19,6,6,1,4,6,1
3692,1,1,1,5,2,1,0
1518,20,6,6,4,6,6,1
2102,2,1,1,1,2,1,0
5142,19,6,6,5,6,5,1
481,3,1,1,4,4,1,0
1108,16,6,5,3,3,6,1
1471,2,1,1,6,2,1,0
8280,1,1,1,1,1,1,0
6924,17,5,5,4,5,5,1
2670,20,6,6,5,5,6,1
1977,11,4,4,1,3,5,0
7302,2,1,1,6,1,1,0
1932,17,6,5,6,4,5,1
7340,3,2,1,5,1,1,0
8974,18,6,6,4,3,6,1
542,17,6,6,4,3,6,1
2676,9,3,3,4,5,3,1
2316,4,1,3,1,5,2,0
7353,8,3,2,5,4,2,0
6524,15,5,5,2,5,5,0
3287,3,2,1,5,1,1,0
8969,5,2,1,6,2,2,0
4719,10,3,3,5,6,2,0
6819,13,4,4,4,6,4,0
8682,5,2,2,1,3,3,0
6225,9,3,3,2,5,3,1
6060,6,2,3,1,5,2,0
8093,16,5,6,1,4,6,1
5477,6,2,3,2,5,2,0
6309,20,6,6,3,4,6,1
8996,14,4,4,6,4,4,1
7601,8,4,3,2,1,4,0
8199,6,3,2,3,2,3,0
2804,12,3,5,1,6,4,0
2258,6,2,4,1,3,4,0
5966,8,2,3,4,6,2,0
7935,2,1,1,4,1,1,0
4699,12,4,4,5,4,4,1
6928,16,6,6,2,4,6,1
6645,2,1,1,1,2,1,0
212,17,6,5,4,3,6,1
1115,4,2,2,1,1,3,0
142,1,1,1,1,1,1,0
8693,13,4,5,3,5,4,1
444,14,5,5,2,2,6,0
5285,2,1,1,6,1,1,0
730,16,5,5,3,6,5,1
2467,5,2,2,1,3,3,0
6280,6,3,1,6,1,2,1
3954,16,6,5,5,3,5,0
4430,12,5,4,3,2,5,1
2618,15,6,5,4,2,5,0
6746,16,6,6,2,2,6,0
5113,3,2,2,1,2,3,0
2205,2,1,1,6,1,1,0
7244,2,1,1,6,1,1,0
1912,12,4,3,6,4,3,1
6937,16,6,6,3,3,6,0
1743,6,2,1,6,4,1,0
8069,9,4,3,4,2,3,0
7187,16,6,6,3,3,6,1
4722,2,1,1,1,1,2,0
4489,8,2,2,6,6,2,1
2815,9,4,3,4,1,4,0
4231,9,3,2,6,6,2,0
1477,5,1,2,3,6,1,0
5722,4,2,2,2,4,2,0
2341,2,1,1,3,2,1,0
814,3,1,1,6,2,1,1
8354,16,5,5,6,3,5,0
8737,16,5,5,3,5,5,1
1389,3,1,1,6,3,1,0
5696,2,1,1,4,3,1,0
401,3,2,2,2,1,2,0
7855,20,6,6,5,5,6,1
8016,10,4,3,5,2,4,1
5105,1,1,1,5,1,1,0
8098,5,1,1,6,6,1,0
6862,15,5,5,2,3,6,0
1902,4,1,1,6,5,1,0
7305,17,6,6,3,4,6,1
6443,15,5,6,1,4,6,1
4019,10,3,3,6,5,2,1
2365,17,6,6,1,3,6,1
1704,9,4,3,3,2,4,0
5132,16,5,4,6,5,4,1
1599,3,1,1,2,2,2,0
8924,11,4,4,3,5,4,0
3198,17,6,6,4,3,6,1
7455,14,5,5,3,2,5,1
6952,2,1,1,6,2,1,0
2591,2,1,1,1,3,1,0
5343,17,5,6,4,6,5,1
4155,20,6,6,3,6,6,1
2138,18,5,6,4,6,5,1
6352,8,2,3,2,6,2,0
5963,14,5,5,1,2,6,0
3036,3,2,2,1,1,3,0
5638,14,3,4,5,6,3,1
2550,8,3,3,3,2,3,0
5980,7,2,2,6,5,1,0
5511,10,4,3,5,3,3,1
2229,7,3,2,5,2,3,0
875,2,1,1,4,4,1,0
5334,14,5,4,4,2,5,0
4049,13,4,5,1,4,5,0
5033,3,1,1,4,4,1,0
7756,14,5,5,3,2,5,1
3467,16,5,6,2,4,6,1
7751,7,3,3,3,2,3,0
8814,11,3,4,4,6,2,1
6029,4,2,2,4,2,2,0
1014,19,6,6,5,5,6,1
3335,8,4,4,1,1,4,1
1925,14,5,5,2,2,6,1
8760,10,3,3,5,5,3,0
5456,7,3,2,4,2,3,0
5223,3,1,1,6,3,1,0
3179,11,4,3,6,3,3,1
6327,19,6,6,4,5,6,1
4809,20,6,6,5,5,6,1
254,9,3,3,4,3,3,1
7967,6,2,2,3,6,2,0
8628,4,2,2,3,1,3,0
7722,13,4,5,3,4,4,0
1778,15,5,5,4,2,5,0
7661,2,1,1,6,2,1,0
4645,8,3,3,4,4,3,0
3238,6,3,2,3,1,3,0
710,7,3,3,2,3,3,0
5485,9,5,4,1,1,6,0
8510,12,5,5,2,2,5,0
6902,16,5,5,2,5,5,1
8353,20,6,6,4,6,6,1
4931,6,3,2,4,2,2,0
4926,20,6,6,3,6,6,1
362,11,4,4,2,4,4,0
4461,7,2,2,6,6,1,0
1225,20,6,6,3,6,6,1
7957,8,2,3,2,6,2,0
1472,8,2,4,1,6,3,0
3811,6,2,2,6,4,1,0
4283,2,2,1,1,1,2,0
3945,20,6,6,4,4,6,1
4414,11,4,4,3,4,4,1
7389,16,5,4,6,5,4,1
8970,9,4,3,2,1,5,0
4689,4,2,2,3,2,2,0
8493,20,6,6,2,5,6,1
8370,9,3,3,3,5,3,0
6048,2,1,1,3,1,1,0
6849,14,5,5,3,4,5,0
3087,15,5,5,2,3,6,0
3175,3,1,2,3,3,2,0
1934,16,5,5,4,5,5,1
5252,12,3,3,6,6,2,1
1685,8,3,3,2,3,3,0
7207,7,3,2,4,2,3,0
2593,16,4,5,5,6,4,1
8687,16,5,5,4,4,5,0
1549,18,6,6,2,5,6,1
7878,16,6,6,2,3,6,1
2601,18,6,6,2,4,6,1
4560,11,3,3,5,6,3,0
6055,9,2,2,6,6,2,0
6599,18,6,6,5,4,6,1
1147,2,1,1,1,1,2,0
6532,6,2,2,6,5,1,0
1208,17,6,6,4,2,6,1
390,5,2,2,5,5,1,0
2220,16,5,5,4,4,5,1
6324,16,5,6,2,5,5,1
5035,13,3,4,4,6,3,0
3528,13,4,3,6,6,3,1
8290,8,4,3,2,1,4,0
7614,15,4,4,6,5,3,1
3294,16,5,5,4,3,5,0
7575,11,4,4,2,3,4,0
785,2,1,1,3,2,1,0
4315,13,4,5,3,4,4,0
6543,2,1,1,5,1,1,0
8209,17,5,5,6,5,5,1
7893,4,1,2,1,5,2,0
8630,17,5,6,3,5,5,1
5233,18,6,5,5,3,6,1
3535,20,6,6,6,5,6,1
6172,13,4,4,6,5,3,1
2991,9,3,3,3,4,3,0
8551,2,1,1,6,1,1,0
2147,14,5,5,3,2,6,1
8725,18,6,6,5,5,5,0
6185,1,1,1,5,1,1,0
4969,6,3,2,4,1,3,0
1586,9,3,3,2,3,4,0
8953,17,6,6,4,4,6,1
3509,3,1,2,2,3,2,0
4922,1,1,1,4,1,1,0
449,12,4,5,1,3,5,0
5234,3,2,1,2,1,2,0
4937,10,4,3,5,3,3,0
4747,11,3,4,2,6,3,1
1605,8,3,3,3,5,3,1
410,15,4,5,4,6,4,1
5396,18,6,6,5,5,6,1
3416,11,4,3,6,4,3,0
8145,3,1,1,6,2,1,0
7949,6,3,2,5,2,2,0
801,3,1,1,4,5,1,0
6516,5,2,2,6,2,2,0
2227,15,5,5,2,4,5,1
4659,9,4,4,1,2,4,1
8262,18,5,6,1,5,6,0
5854,17,6,5,5,4,5,1
1939,18,6,6,1,4,6,1
2171,18,5,6,2,5,6,1
1572,1,1,1,1,1,1,0
7727,11,3,4,4,5,3,0
6127,2,1,1,1,1,2,0
8422,8,3,3,4,2,3,0
4269,14,3,4,6,6,2,1
5159,9,3,4,1,3,4,1
6010,7,2,2,5,6,2,0
8529,2,1,1,1,3,1,0
3813,11,4,4,4,2,4,0
1233,8,2,2,5,6,2,1
4879,16,6,5,4,3,5,1
7758,20,6,6,6,5,6,1
3193,12,4,5,1,5,5,0
3233,3,2,1,6,2,1,0
5507,16,5,5,6,3,5,1
1030,10,4,4,2,2,4,0
2283,9,2,3,6,6,2,0
6708,7,2,2,6,5,1,1
1611,7,3,3,3,1,3,0
7438,9,3,3,3,4,3,0
1132,5,2,2,6,2,2,0
5081,13,4,4,4,5,4,0
8506,14,6,5,3,1,6,1
2052,8,3,3,4,3,3,0
8376,6,2,3,1,3,3,0
5807,12,5,4,3,1,5,0
7555,2,1,2,1,1,3,0
7166,19,6,6,2,6,6,1
3412,18,6,6,5,3,6,0
8349,14,5,5,2,3,5,1
2753,7,4,3,2,1,4,0
8095,4,2,2,1,3,2,0
8605,16,5,4,6,5,4,1
1680,7,2,3,3,5,2,0
6851,11,2,4,4,6,2,0
5282,13,5,4,5,2,4,1
1272,6,3,2,6,2,2,0
7637,2,1,1,1,3,2,0
7923,17,6,5,5,4,5,1
2599,8,3,3,2,3,3,0
1787,19,6,6,5,6,5,1
6228,10,3,3,5,5,3,0
2797,13,4,3,6,5,3,1
1451,4,3,1,5,1,2,0
828,6,2,2,4,2,2,0
1757,16,6,5,4,2,6,1
5231,16,5,6,2,3,6,1
8420,10,4,4,3,2,4,0
2695,8,3,4,1,4,4,0
5199,6,2,3,1,5,3,0
8381,11,4,4,3,2,4,1
6777,6,2,2,6,3,2,0
1155,2,1,2,1,1,2,0
6930,18,6,6,3,4,6,1
8285,5,2,2,3,4,2,0
4814,16,5,5,3,6,5,1
285,12,4,4,4,2,4,1
6625,8,3,3,2,4,3,0
6598,2,1,1,6,1,1,0
5243,12,5,5,2,2,5,1
5137,19,6,6,5,6,5,1
2479,11,3,4,2,5,4,0
5333,10,4,3,4,3,4,0
6213,15,5,5,2,4,5,1
537,9,3,3,2,3,4,0
4992,7,3,1,6,2,2,0
5968,11,4,4,3,2,4,0
2265,18,6,6,4,4,6,1
8658,18,6,5,6,3,5,1
4675,1,1,1,6,1,1,0
6100,1,1,1,6,1,1,0
48,14,4,5,3,6,4,1
3844,7,3,2,6,1,3,0
6631,20,6,6,4,4,6,1
7350,16,6,6,1,1,6,1
8503,17,5,6,3,6,5,1
4611,4,2,2,1,2,3,0
2874,1,1,1,6,1,1,0
2409,4,2,1,6,3,1,0
5460,5,2,2,2,2,3,0
5650,18,4,6,4,6,4,1
2569,11,4,4,2,2,5,0
5512,4,1,2,3,4,2,0
8780,14,5,5,1,3,5,0
5641,12,4,5,2,5,4,0
3892,8,2,2,6,6,1,0
919,3,1,1,2,2,2,0
7521,7,2,3,1,4,3,0
8271,14,4,5,2,5,5,0
7267,19,6,6,2,5,6,1
3525,15,5,5,2,3,5,1
957,16,6,5,3,2,6,0
8938,18,5,6,4,5,5,1
8403,14,4,5,3,6,4,0
8912,2,1,1,6,2,1,0
7323,1,1,1,1,1,1,0
5815,2,1,1,1,1,1,0
8434,3,2,1,4,2,2,0
3514,18,6,6,2,2,6,1
4253,2,1,1,3,4,1,0
5554,2,1,1,1,4,1,0
3879,11,4,5,1,2,6,0
8811,3,1,1,5,4,1,0
6501,1,1,1,6,3,1,0
2975,18,5,4,6,6,3,1
4488,9,2,3,3,6,2,0
1046,18,6,6,2,4,6,1
3444,8,3,3,2,4,3,0
5772,6,2,2,3,5,2,0
2884,4,2,2,4,3,2,0
6362,15,4,4,6,5,4,1
3386,15,5,5,2,3,6,1
2943,5,2,2,5,4,2,0
3371,7,3,2,4,4,2,0
2733,15,5,4,5,4,4,1
2619,7,2,3,3,6,2,1
8419,1,1,1,1,1,1,0
8636,18,6,5,5,4,5,1
4482,3,2,2,3,1,2,0
699,15,5,4,5,3,5,0
8163,19,6,6,3,5,6,1
4005,17,5,5,6,5,4,1
8337,19,6,6,5,5,6,1
7191,9,3,3,4,5,3,0
7595,13,4,5,3,4,5,0
8756,14,4,4,4,4,4,0
1790,4,2,2,3,2,2,0
465,13,3,3,6,6,2,1
8587,17,5,6,2,5,6,1
1854,16,5,6,3,4,6,1
6024,3,1,1,4,4,1,0
5218,10,2,3,5,6,2,0
8676,11,3,3,6,6,2,0
7346,13,5,4,4,3,5,1
8592,11,3,4,4,6,3,1
2351,14,4,4,6,6,3,0
4098,16,4,5,4,6,4,1
7643,9,3,4,1,3,4,0
4153,18,6,5,6,4,5,1
6114,1,1,1,1,2,1,0
2922,14,5,5,1,4,5,1
8684,7,3,2,5,1,3,0
1726,1,1,1,2,5,1,0
1474,4,2,2,1,2,3,0
3976,6,2,2,3,6,2,0
3378,19,6,6,5,4,6,1
3035,1,1,1,1,1,2,0
7228,15,5,5,4,4,5,0
4385,5,2,1,6,4,1,1
997,10,4,4,2,3,4,0
965,5,2,2,3,3,2,1
7383,20,6,6,3,6,6,1
5923,9,3,3,2,5,3,0
1896,7,3,3,3,2,3,0
3928,11,4,4,2,5,4,1
8421,2,1,1,2,1,2,0
5404,16,5,5,5,5,5,1
1590,10,4,5,1,3,5,1
5771,10,4,2,6,2,2,0
3953,7,2,2,4,4,2,0
2911,14,4,5,3,4,5,0
6205,11,4,4,1,3,5,0
1406,6,2,2,6,4,1,1
5303,16,5,6,2,4,6,0
455,7,2,3,1,5,3,0
4610,10,4,3,5,2,4,0
453,15,5,5,2,3,6,0
5735,10,4,4,2,2,4,0
6887,15,5,5,2,3,5,0
2835,20,6,6,4,6,6,1
7970,3,1,2,1,4,2,0
725,12,3,5,1,6,4,0
4143,20,6,6,6,6,6,1
758,6,2,3,2,5,2,0
8258,9,2,4,1,6,3,0
1356,20,6,6,2,5,6,1
1448,13,5,5,1,1,6,0
3142,5,2,1,6,4,1,0
726,12,4,4,4,4,4,1
7531,16,5,5,3,4,5,1
5890,3,2,1,6,1,2,0
6285,18,6,5,6,3,6,1
1554,16,5,6,1,4,6,0
881,11,4,4,2,4,4,1
2936,9,4,4,1,2,4,0
5570,6,2,2,4,5,2,0
1822,14,5,5,3,3,5,0
3108,3,2,1,6,1,1,0
5667,1,1,1,1,1,1,0
3829,16,6,5,5,4,5,1
606,5,3,2,1,1,3,0
3487,6,3,2,6,2,2,0
4872,10,5,3,5,1,4,0
1573,20,6,6,5,6,6,1
421,3,2,2,3,2,2,0
220,13,4,5,2,6,4,1
3046,11,4,4,2,2,5,0
2380,16,5,5,5,6,4,1
5843,11,5,4,1,1,5,0
5479,20,6,6,2,5,6,0
7459,9,3,3,6,4,2,0
3494,10,4,3,6,2,3,0
1997,12,4,4,3,5,4,0
1690,9,3,3,3,4,3,0
5454,5,2,2,2,4,2,0
